OBJECTID,NHSD_OPERATIONALSTATUS,NHSD_ORGANISATION_NAME,NHSD_ADDRESS,NHSD_SUBURB,NHSD_STATE,NHSD_POSTCODE,NHSD_LONG,NHSD_LAT,NHSD_SERVICE_ID,NHSD_SERVICE_TYPE,GNAF_ADDRESS_DETAIL_PID,GA_CLASS,GA_SOURCE_DATE
1108,active,Mount Martha Village Clinic - Dunns Road,205 Dunns Road Mornington VIC 3931,Mornington,VIC,3931,145.0458527,-38.24554443,45269b5c-418c-1751-a267-252dfe8e0e49,General practice service,GAVIC420191770,GENERAL PRACTICE,2024-03-05
1109,active,Station Street Clinic,34 Station Street Pakenham VIC 3810,Pakenham,VIC,3810,145.4850922,-38.07917404,0e5db5d3-e744-fc5c-3852-00ee4c9df739,General practice service,,GENERAL PRACTICE,2024-03-05
1110,active,Burraneer Family Practice,106 Woolooware Road Burraneer NSW 2230,Burraneer,NSW,2230,151.1407471,-34.05317688,5bbd10ee-6850-3c09-fcf2-93c9b6caf419,General practice service,GANSW717644713,GENERAL PRACTICE,2024-03-05
1111,active,Glenwest Medical Centre,6 Bija Drive Glenmore Park NSW 2745,Glenmore Park,NSW,2745,150.6792603,-33.78541565,819248d7-2e25-addf-50f8-fefcb63eff84,General practice service,GANSW709196867,GENERAL PRACTICE,2024-03-05
1112,active,Smith Street Practice,7 Smith Street North Tamworth NSW 2340,North Tamworth,NSW,2340,150.9267273,-31.07601738,49ad56c7-8ebd-e13f-6af0-5f6d729c284c,General practice service,GANSW718091404,GENERAL PRACTICE,2024-03-05
1113,active,Toowoomba Medical Centre,146 Drayton Road Harristown QLD 4350,Harristown,QLD,4350,151.9299927,-27.58893013,01ed1391-5b36-02b1-7441-74e0d7f80d39,General practice service,GAQLD156640280,GENERAL PRACTICE,2024-03-05
1114,active,Yam Island Primary Health Care Centre,1 Airport Road Yam Island QLD 4875,Yam Island,QLD,4875,142.2471313,-10.59356594,4bedfd46-590c-3eb6-193f-ee32d65bd1c2,General practice service,,GENERAL PRACTICE,2024-03-05
1115,active,Dr Colin Chan's Surgery,38 Balgonie Avenue Girrawheen WA 6064,Girrawheen,WA,6064,115.8297272,-31.83728409,1f230a34-5533-2bf4-0735-e8460eca0ef6,General practice service,,GENERAL PRACTICE,2024-03-05
1116,active,Woy Woy General Practice,26-30 Railway Street Woy Woy NSW 2256,Woy Woy,NSW,2256,151.3240967,-33.48587418,53b53651-32d0-0cde-a0dc-b931514490bd,General practice service,,GENERAL PRACTICE,2024-03-05
1117,active,Fairfield District Medical Centre,147 Polding Street Fairfield Heights NSW 2165,Fairfield Heights,NSW,2165,150.9382172,-33.8622818,4ca3518c-f3c2-b8a8-3346-24ed1e5e31a7,General practice service,GANSW716612080,GENERAL PRACTICE,2024-03-05
1118,active,Aqua Marine Medical Centre & Skin Clinic,152-158 Broadwater Terrace Redland Bay QLD 4165,Redland Bay,QLD,4165,153.3030701,-27.61188889,3f326541-38e1-3f61-9770-2ce7d30c92a4,General practice service,,GENERAL PRACTICE,2024-03-05
1119,active,Paterson Medical Practice,16 King Street Paterson NSW 2421,Paterson,NSW,2421,151.6190033,-32.59879684,3f1a8517-1dfb-bd15-c72d-791529058a31,General practice service,GANSW705665943,GENERAL PRACTICE,2024-03-05
1120,active,Hawkins Medical Clinic - Suttontown,10-12 Pinehall Avenue Mount Gambier SA 5290,Mount Gambier,SA,5290,140.7915192,-37.80349731,c97ad18f-8241-439f-f49b-6ccd3ac24e31,General practice service,,GENERAL PRACTICE,2024-03-05
1121,active,Geelong & Surfcoast Veins,1 Cylinders Drive Torquay VIC 3228,Torquay,VIC,3228,144.3175771,-38.31206893,a22f1945-8e72-4c90-9dfa-1e11eed6470c,General practice service,,GENERAL PRACTICE,2024-03-05
1122,active,Good Health Medical Centre - Garden City,2049 Logan Road Upper Mount Gravatt QLD 4122,Upper Mount Gravatt,QLD,4122,153.0827794,-27.56304863,6875c3d5-5a56-4da9-9c43-5c70e6be6350,General practice service,GAQLD159379895,GENERAL PRACTICE,2024-03-05
1123,active,One Life Medical,71 Cambridge Drive Alexandra Hills QLD 4161,Alexandra Hills,QLD,4161,153.2215576,-27.52403831,c12c83cc-45ac-5b3a-0b7c-fb288214daf4,General practice service,GAQLD425147985,GENERAL PRACTICE,2024-03-05
1124,active,Rowville Central Clinic,7 Fulham Road Rowville VIC 3178,Rowville,VIC,3178,145.2376709,-37.91767883,5f58d19c-280a-866b-06f6-caa5b8213dac,General practice service,,GENERAL PRACTICE,2024-03-05
1125,active,Mingenew Silver Chain Health Service,80 Phillip Street Mingenew WA 6522,Mingenew,WA,6522,115.4429092,-29.19416809,5be50900-8222-9780-129b-38fcd5b6794f,General practice service,GAWA_161572478,GENERAL PRACTICE,2024-03-05
1126,active,Dr Albert Ng,267b Malton Road North Epping NSW 2121,North Epping,NSW,2121,151.093277,-33.7580719,2be6b4c5-3159-b161-d154-b2931f6122f7,General practice service,GANSW710948046,GENERAL PRACTICE,2024-03-05
1127,active,Family Doctors Plus,178 Albion Road Windsor QLD 4030,Windsor,QLD,4030,153.0334625,-27.42913246,ca1d514c-f54d-cc20-39a3-1c52182d4a45,General practice service,,GENERAL PRACTICE,2024-03-05
1128,active,MedClinic Panania,96 Anderson Avenue Panania NSW 2213,Panania,NSW,2213,150.9981842,-33.95586014,1e417811-2589-cabb-6af8-1e3f01f18edf,General practice service,,GENERAL PRACTICE,2024-03-05
1129,active,Bankstown Family Medical Practice,96 Bankstown City Plaza Bankstown NSW 2200,Bankstown,NSW,2200,151.0330353,-33.91757965,4cf3a02a-0cf1-9312-aa6e-fe950cc8bf54,General practice service,GANSW717010465,GENERAL PRACTICE,2024-03-05
1130,active,Hanbury Street Family Practice,282 Maitland Road Mayfield NSW 2304,Mayfield,NSW,2304,151.7361603,-32.89743042,4b6c94bd-3bde-91bb-9f1c-91ce9c51d202,General practice service,GANSW716333900,GENERAL PRACTICE,2024-03-05
1131,active,Schwarz Family Practice,37 Hilder Street Elderslie NSW 2570,Elderslie,NSW,2570,150.7174835,-34.05211639,bd005128-83a5-16a4-18b7-ff2366ed74e0,General practice service,GANSW713175146,GENERAL PRACTICE,2024-03-05
1132,active,Wynter Street Medical Centre,54 Wynter Street Taree NSW 2430,Taree,NSW,2430,152.458725,-31.91007423,cdeab005-6a95-e867-2baa-864c9d4dffeb,General practice service,GANSW706065459,GENERAL PRACTICE,2024-03-05
1133,active,Inclusive Health and Wellness Hub,15 Hope Street South Brisbane QLD 4101,South Brisbane,QLD,4101,153.0159454,-27.47175217,e29e1cac-a5cf-1b79-14f5-de7a91627c93,General practice service,GAQLD425150029,GENERAL PRACTICE,2024-03-05
1134,active,Airport Doctor Surgery,1 William Dean Avenue Urangan QLD 4655,Urangan,QLD,4655,152.8921661,-25.322855,0e7ceea2-fcb3-1936-89cc-e79995411770,General practice service,,GENERAL PRACTICE,2024-03-05
1135,active,Centreway Medical Centre,234 Milleara Road Keilor East VIC 3033,Keilor East,VIC,3033,144.8625793,-37.74932861,49ba18b0-1f72-f097-6ace-a8e2dcc220fd,General practice service,GAVIC421392028,GENERAL PRACTICE,2024-03-05
1136,active,Myhealth Airport West,29-35 Louis Street Airport West VIC 3042,Airport West,VIC,3042,144.8867035,-37.71374512,b300349f-6e69-932d-6793-fde450c8e87b,General practice service,,GENERAL PRACTICE,2024-03-05
1137,active,Forest Hill Chase Medical Centre,270 Canterbury Road Forest Hill VIC 3131,Forest Hill,VIC,3131,145.1622605,-37.8348083,9c0e0c24-3b37-4c38-82a1-909f9a567785,General practice service,,GENERAL PRACTICE,2024-03-05
1138,active,Healthology Medical Centre Rosny,10 Bayfield Street Rosny Park TAS 7018,Rosny Park,TAS,7018,147.3703766,-42.86622238,aa287007-794b-9b13-dd74-2ad1f876f0be,General practice service,GATAS702683794,GENERAL PRACTICE,2024-03-05
1139,active,Balmoral Bush Nursing Centre,26-28 Bell Street Balmoral VIC 3407,Balmoral,VIC,3407,141.8411865,-37.24941635,3a8c589d-9dab-15da-c10e-146de8cbaf5b,General practice service,GAVIC414323362,GENERAL PRACTICE,2024-03-05
1140,active,The Practice of Dr Victor Vanco,19 Sparkes Street Chermside QLD 4032,Chermside,QLD,4032,153.030014,-27.3872261,1247c5ec-f7e4-c0f2-fe1a-0d7053b11654,General practice service,GAQLD156080695,GENERAL PRACTICE,2024-03-05
1141,active,Wishart Medical Centre,590 Mt Gravatt-Capalaba Road Wishart QLD 4122,Wishart,QLD,4122,153.1081543,-27.54824448,dfe0c7f0-2b4e-8817-1f04-696b4fecf587,General practice service,,GENERAL PRACTICE,2024-03-05
1142,active,Hennessy Clinic,20 Mitford Street St Kilda VIC 3182,St Kilda,VIC,3182,144.9821167,-37.87188721,afabc72d-cf39-2cff-c0c3-6b0fcb0a30ce,General practice service,GAVIC421387455,GENERAL PRACTICE,2024-03-05
1143,active,Medical One - Waurn Ponds,160 Colac Road Waurn Ponds VIC 3216,Waurn Ponds,VIC,3216,144.3102417,-38.20162582,46be0d2a-aafd-aff6-8142-dedcfa304fd3,General practice service,,GENERAL PRACTICE,2024-03-05
1144,active,Watsonia Central Medical Clinic,77 Devonshire Road Watsonia VIC 3087,Watsonia,VIC,3087,145.0795523,-37.712406,c7f2f7af-1e2c-4c5d-afea-920bfb1b9122,General practice service,,GENERAL PRACTICE,2024-03-05
1145,active,UQ Health Care St Lucia,342 Carmody Road St Lucia QLD 4067,St Lucia,QLD,4067,153.0116128,-27.49464886,4e1da9e0-3af6-4a24-98f6-e93dfd82f6e7,General practice service,GAQLD157097567,GENERAL PRACTICE,2024-03-05
1146,active,CRAICCHS - Cherbourg Regional Aboriginal & Islander Community Controlled Health Services,Corner Bligh And Broadway Street Cherbourg QLD 4605,Cherbourg,QLD,4605,151.9560547,-26.28912926,3ebaeb48-1f10-482b-da1c-9b88bdbd84a8,General practice service,,GENERAL PRACTICE,2024-03-05
1147,active,Dr Kathy Maxwell,134 Elphin Road Newstead TAS 7250,Newstead,TAS,7250,147.1589508,-41.43961716,1e36b9d0-13f6-50f5-177a-6c426688f68a,General practice service,GATAS702240237,GENERAL PRACTICE,2024-03-05
1148,active,Corrigin Medical Centre,5 Murphy Street Corrigin WA 6375,Corrigin,WA,6375,117.877594,-32.32367325,43658104-f48d-5d49-a363-a1d83bb983a2,General practice service,GAWA_147365019,GENERAL PRACTICE,2024-03-05
1149,active,76 Prince Street Medical,76 Prince Street Orange NSW 2800,Orange,NSW,2800,149.0967407,-33.27730179,0f6b35eb-411e-5599-dc36-b6f1b595d622,General practice service,GANSW705639711,GENERAL PRACTICE,2024-03-05
1150,active,Wakefield Gardens Surgery,99 Wakefield Gdns Ainslie ACT 2602,Ainslie,ACT,2602,149.145706,-35.261272,9b13950a-f6aa-e5b3-cb8c-0fec41a41823,General practice service,GAACT714892353,GENERAL PRACTICE,2024-03-05
1151,active,GP Care ,32 Wises Road Maroochydore QLD 4558,Maroochydore,QLD,4558,153.0909882,-26.67299652,56ae835e-f013-56c6-2943-13a55c9f8731,General practice service,,GENERAL PRACTICE,2024-03-05
1152,active,Hills Women's Health And Medical Practice,170a Old Northern Road Castle Hill NSW 2154,Castle Hill,NSW,2154,150.9945526,-33.74597168,9bd835ea-d88c-0568-c2a6-b89a96446dd6,General practice service,GANSW711154768,GENERAL PRACTICE,2024-03-05
1153,active,Old Northern Road Medical Centre,172 Old Northern Road Everton Park QLD 4053,Everton Park,QLD,4053,152.9846954,-27.38895988,c855355d-8b25-fd9d-d38b-5e3091cbffd0,General practice service,GAQLD155285075,GENERAL PRACTICE,2024-03-05
1154,active,Cecil Hills Medical Centre,1 Lancaster Avenue Cecil Hills NSW 2171,Cecil Hills,NSW,2171,150.8494263,-33.88212967,a53e2990-fb53-00e2-4c93-73d4610292fa,General practice service,,GENERAL PRACTICE,2024-03-05
1155,active,Rockdale Family Health Clinic,2-6 Market Street Rockdale NSW 2216,Rockdale,NSW,2216,151.1400452,-33.95151138,6bb94ee8-658b-0659-d59a-ed409f7b46bd,General practice service,GANSW711559728,GENERAL PRACTICE,2024-03-05
1156,active,Capel Medical Clinic,21b Properjohn Road Capel WA 6271,Capel,WA,6271,115.5624542,-33.55527878,edd95db1-06c1-925d-73aa-7bc654ef0151,General practice service,GAWA_163395314,GENERAL PRACTICE,2024-03-05
1157,active,Warrawong Accident and Medical Centre,Corner King & Cowper Street Warrawong NSW 2502,Warrawong,NSW,2502,150.889603,-34.486355,3c6ea9ed-f60a-ede1-8cbc-547c5597dbe4,General practice service,,GENERAL PRACTICE,2024-03-05
1158,active,Alpha Medical Center Kalgoorlie,36 Macdonald Street Kalgoorlie WA 6430,Kalgoorlie,WA,6430,121.47577,-30.74794,24b2dcbb-6b84-4c68-83e2-66138d5ecdbd,General practice service,GAWA_147020193,GENERAL PRACTICE,2024-03-05
1159,active,Galambila Aboriginal Health Service - Coffs Harbour,9 Boambee Street Coffs Harbour NSW 2450,Coffs Harbour,NSW,2450,153.1287079,-30.30565262,4385e053-e5ae-602c-4b0b-043f8b1a63cc,General practice service,GANSW712197897,GENERAL PRACTICE,2024-03-05
1160,active,You Yangs Medical Clinic,45 Walkers Road Lara VIC 3212,Lara,VIC,3212,144.4068298,-38.02127075,150740db-9eaa-6f30-0640-eafdcd5a1e59,General practice service,GAVIC411725868,GENERAL PRACTICE,2024-03-05
1161,active,Calamvale Family Practice,2605 Beaudesert Road Calamvale QLD 4116,Calamvale,QLD,4116,153.0458876,-27.63065644,9f1ddc5e-3f0d-41cf-a321-50a6b03adc82,General practice service,GAQLD719092187,GENERAL PRACTICE,2024-03-05
1162,active,Boon Health Centre,862-868 Old Princes Highway Sutherland NSW 2232,Sutherland,NSW,2232,151.0561066,-34.03461456,6b8f62ea-13c2-00f5-162a-4f4b25c6dcc3,General practice service,GANSW717307086,GENERAL PRACTICE,2024-03-05
1163,active,Bulman Health Centre,1 Bulman Community Bulman Weemol NT 0852,Bulman Weemol,NT,852,134.3322144,-13.66537762,0b3bd029-a233-cb49-aa50-c822f51011b8,General practice service,,GENERAL PRACTICE,2024-03-05
1164,active,Amtan Reedy Creek Medical Centre,1 Kingsmore Boulevard Reedy Creek QLD 4227,Reedy Creek,QLD,4227,153.404854,-28.10721504,fa51c5cc-7981-d6dc-966f-3b5e976ec877,General practice service,GAQLD425289811,GENERAL PRACTICE,2024-03-05
1165,active,United Care Medical Centre - Lidcombe,27 John Street Lidcombe NSW 2141,Lidcombe,NSW,2141,151.0453186,-33.86136627,19b919a1-911e-feb8-af1e-03c774a8d569,General practice service,,GENERAL PRACTICE,2024-03-05
1166,active,Brisbane Valley Medical Services - Toogoolawah,99 Cressbrook Street Toogoolawah QLD 4313,Toogoolawah,QLD,4313,152.3772888,-27.08912086,0572425b-5f88-c19f-3622-2f17d0cf7354,General practice service,GAQLD157243141,GENERAL PRACTICE,2024-03-05
1167,active,Harbourtown Medical Centre,1-3 Marble Arch Place Arundel QLD 4214,Arundel,QLD,4214,153.3551331,-27.92377472,9df2a067-11cb-4b22-7288-8fd263477170,General practice service,GAQLD161225325,GENERAL PRACTICE,2024-03-05
1168,active,Balgal Beach Medical Practice,120 Mystic Avenue Balgal Beach QLD 4816,Balgal Beach,QLD,4816,146.4214305,-19.04197635,52c22725-d3d7-9b0d-251d-7707a7c74076,General practice service,GAQLD425796931,GENERAL PRACTICE,2024-03-05
1169,active,Campbelltown Central Medical Centre,251 Queen Street Campbelltown NSW 2560,Campbelltown,NSW,2560,150.8124899,-34.06823168,b2f84707-c773-4ed1-bcb2-b7c827ec4976,General practice service,,GENERAL PRACTICE,2024-03-05
1170,active,St Kilda Medical Group,81 Grey Street St Kilda VIC 3182,St Kilda,VIC,3182,144.9795685,-37.86253357,b717c081-d05b-d851-d6d6-86e531656da0,General practice service,GAVIC420903975,GENERAL PRACTICE,2024-03-05
1171,active,Bunker Road Medical Centre,2-34 Bunker Road Victoria Point QLD 4165,Victoria Point,QLD,4165,153.2809296,-27.58781433,29d572d1-a7b3-9f92-be61-6b73fce9e874,General practice service,,GENERAL PRACTICE,2024-03-05
1172,active,Deception Bay Doctors,25 Zammit Street Deception Bay QLD 4508,Deception Bay,QLD,4508,153.0050354,-27.18225479,e0672979-d838-2800-433d-f02617b05991,General practice service,,GENERAL PRACTICE,2024-03-05
1173,active,Blyth Street Medical Centre Altona,74 Blyth Street Altona VIC 3018,Altona,VIC,3018,144.8273468,-37.86832047,7270b704-ae04-82b3-6208-964de3ee4953,General practice service,GAVIC420717507,GENERAL PRACTICE,2024-03-05
1174,active,Heddon Greta Medical Centre,45 Main Road Heddon Greta NSW 2321,Heddon Greta,NSW,2321,151.5094507,-32.8034064,0f869ede-a070-4bed-b0ae-b2ca44935f56,General practice service,GANSW711968672,GENERAL PRACTICE,2024-03-05
1175,active,Woolooware Medical Practice,44 Wills Road Woolooware NSW 2230,Woolooware,NSW,2230,151.1453094,-34.04629135,9ddbbce4-d00b-07f4-795c-8dda0837846f,General practice service,GANSW707664494,GENERAL PRACTICE,2024-03-05
1176,active,Rozelle Medical Centre,670 Darling Street Rozelle NSW 2039,Rozelle,NSW,2039,151.1704754,-33.86383063,c5cd92f1-ad08-496e-6842-357c55077b09,General practice service,GANSW705827425,GENERAL PRACTICE,2024-03-05
1177,active,Fitzwilliam Road Medical Centre,62 Fitzwilliam Road Old Toongabbie NSW 2146,Old Toongabbie,NSW,2146,150.9663544,-33.7862587,80c168be-188a-dd05-9383-6a47fe00c6b4,General practice service,,GENERAL PRACTICE,2024-03-05
1178,active,Lindfield Medical Practice,345 Pacific Highway Lindfield NSW 2070,Lindfield,NSW,2070,151.1673737,-33.77351379,66c9c3f7-89a8-11e8-63f2-e6dd200f75c6,General practice service,GANSW710655788,GENERAL PRACTICE,2024-03-05
1179,active,Goldsworthy GP,236 Stirling Highway Claremont WA 6010,Claremont,WA,6010,115.7876053,-31.98232269,d80f6eb2-e5f2-aa40-4685-75a03829aec2,General practice service,GAWA_146635195,GENERAL PRACTICE,2024-03-05
1180,active,Graceville Medical,296 Oxley Road Graceville QLD 4075,Graceville,QLD,4075,152.9808655,-27.52454758,a39e726b-9dad-49ae-5fb0-3a7760a413f3,General practice service,GAQLD425151893,GENERAL PRACTICE,2024-03-05
1181,active,Berwick Healthcare,76 Clyde Road Berwick VIC 3806,Berwick,VIC,3806,145.3417969,-38.03959656,dc34f7ba-0d62-e649-97c3-238dfa99d5e2,General practice service,,GENERAL PRACTICE,2024-03-05
1182,active,Dr S R Fischer,20 Coogee Bay Road Randwick NSW 2031,Randwick,NSW,2031,151.2434387,-33.9178772,a1860363-beba-416f-b03c-af1c6a63fb89,General practice service,GANSW718352064,GENERAL PRACTICE,2024-03-05
1183,active,The Clinic East Ballina,38-44 Links Avenue East Ballina NSW 2478,East Ballina,NSW,2478,153.5830994,-28.85092354,62b3527f-27ed-505d-4b5d-70b924097b41,General practice service,,GENERAL PRACTICE,2024-03-05
1184,active,Winnunga Nimmityjah Aboriginal Health Service,63 Boolimba Crescent Narrabundah ACT 2604,Narrabundah,ACT,2604,149.1548309,-35.33330917,941f50e2-5419-efa2-97cc-ad485b6d14b0,General practice service,,GENERAL PRACTICE,2024-03-05
1185,active,Liverpool Medical Centre,94 Moore Street Liverpool NSW 2170,Liverpool,NSW,2170,150.9229584,-33.92261887,07e6c258-fb4c-cdc9-33cd-9f1471c218ac,General practice service,GANSW705235750,GENERAL PRACTICE,2024-03-05
1186,active,Lynbrook Village Medical Centre,75 Lynbrook Boulevard Lynbrook VIC 3975,Lynbrook,VIC,3975,145.2574005,-38.05175781,1617c222-3392-754c-caa5-f5ee9e388db2,General practice service,,GENERAL PRACTICE,2024-03-05
1187,active,Healthwise Medical Centre - Arncliffe,2 Fripp Street Arncliffe NSW 2205,Arncliffe,NSW,2205,151.1368713,-33.93836212,e78b7696-0c11-17b5-dfcb-b6a6ae917210,General practice service,GANSW703931152,GENERAL PRACTICE,2024-03-05
1188,active,Narooma Medical Centre,185 Princes Highway Narooma NSW 2546,Narooma,NSW,2546,150.1274414,-36.22324753,8622bb9a-a189-1f41-907f-e9048d6ff14a,General practice service,GANSW718476166,GENERAL PRACTICE,2024-03-05
1189,active,Pasadena Medical Pty Ltd,16 30 Fiveash Drive Pasadena SA 5042,Pasadena,SA,5042,138.5904291,-35.00128924,551b404c-4a9b-bd8f-dbdb-e71b56bf91da,General practice service,GASA_415636618,GENERAL PRACTICE,2024-03-05
1190,active,Lake Tyers Health & Childrens Services,1 Rules Road Lake Tyers VIC 3887,Lake Tyers,VIC,3887,148.102168,-37.7896113,ad3f95dd-51a7-4af1-4628-a780e1ec706b,General practice service,,GENERAL PRACTICE,2024-03-05
1191,active,Family Medical Centre Murrurundi,113 Mayne Street Murrurundi NSW 2338,Murrurundi,NSW,2338,150.8339386,-31.76345444,098ef4a5-42ea-9415-c8e8-090c7f442a38,General practice service,GANSW712077940,GENERAL PRACTICE,2024-03-05
1192,active,Seven Hills Medical Centre,1 First Avenue Seven Hills NSW 2147,Seven Hills,NSW,2147,150.936676,-33.7756958,4c1d0f7d-0631-8389-7944-8ac66ce5cdec,General practice service,,GENERAL PRACTICE,2024-03-05
1193,active,Gwynneville Medical Practice,220 Gipps Road Gwynneville NSW 2500,Gwynneville,NSW,2500,150.8819122,-34.41569901,4e499f4c-813f-aad1-de97-831d64764fcb,General practice service,GANSW706511959,GENERAL PRACTICE,2024-03-05
1194,active,Echuca Moama Family Medical Practice - Moama,1-3 Martin Street Moama NSW 2731,Moama,NSW,2731,144.761322,-36.10806274,bea74d05-2885-8314-ce9d-3336513cbf5a,General practice service,GANSW712846242,GENERAL PRACTICE,2024-03-05
1195,active,Dr Charles Wong,54 Hutt Street Adelaide SA 5000,Adelaide,SA,5000,138.6123199,-34.92700958,c1408d1f-36db-f08f-ba94-5c735fa504ba,General practice service,GASA_414990798,GENERAL PRACTICE,2024-03-05
1196,active,Good Practice (GP) Surgery,19 Watt Place Emu Plains NSW 2750,Emu Plains,NSW,2750,150.6600647,-33.75204849,463e5e75-24a1-a7bb-ac32-8f17cb50e2ae,General practice service,,GENERAL PRACTICE,2024-03-05
1197,active,Arkaba Medical Centre,257 Fullarton Road Parkside SA 5063,Parkside,SA,5063,138.6247406,-34.94657516,87e354d8-e2f3-9d10-3308-82f7ec419dcd,General practice service,GASA_415464420,GENERAL PRACTICE,2024-03-05
1198,active,Ayr Medical Group,2a Chippendale Street Ayr QLD 4807,Ayr,QLD,4807,147.4077301,-19.56378555,7cd649ac-be30-816b-4e8c-38f308540f1b,General practice service,,GENERAL PRACTICE,2024-03-05
1199,active,Cotton Tree Plaza Medical Centre,Cnr King St And Memorial Avenue Cotton Tree QLD 4558,Cotton Tree,QLD,4558,153.1011658,-26.65494728,99543fff-98cf-e72f-bd6b-47a9a83b9d29,General practice service,,GENERAL PRACTICE,2024-03-05
1200,active,Wellness Medical Clinic,71b Wyndham Street Shepparton VIC 3630,Shepparton,VIC,3630,145.3990408,-36.3730134,b2b7919c-ebc0-42ca-93b6-e32d4b9bd7a8,General practice service,GAVIC421277561,GENERAL PRACTICE,2024-03-05
1201,active,St Luke Medical Centre,97 Main Road East St Albans VIC 3021,St Albans,VIC,3021,144.8264296,-37.74603943,4025dfa4-0b2e-2600-665c-4153b8fdf30e,General practice service,,GENERAL PRACTICE,2024-03-05
1202,active,Prime Family Medical Centre,515 Warrigal Road Ashwood VIC 3147,Ashwood,VIC,3147,145.0932465,-37.86491013,ecf6928a-a57e-9fdb-f7ca-31db82557070,General practice service,GAVIC420380732,GENERAL PRACTICE,2024-03-05
1203,active,Atticus Health Medical Clinic - Highett,258 Highett Road Highett VIC 3190,Highett,VIC,3190,145.0390387,-37.94859183,1cf2cfe4-547d-418c-bde0-1fa568b97817,General practice service,GAVIC421828777,GENERAL PRACTICE,2024-03-05
1204,active,Capalaba General Practice,5 Larbonya Crescent Capalaba QLD 4157,Capalaba,QLD,4157,153.188858,-27.53598595,243c4774-f6e3-fb84-eaf7-0050b3e39cbf,General practice service,,GENERAL PRACTICE,2024-03-05
1205,active,Gladstone Park Superclinic,8/34 Gladstone Park Drive Gladstone Park VIC 3043,Gladstone Park,VIC,3043,144.8845978,-37.68798447,b44318a9-483b-b81b-0a4f-486b7748150d,General practice service,,GENERAL PRACTICE,2024-03-05
1206,active,NEST Family Wellness Clinic - Elsternwick,289 Kooyong Road Elsternwick VIC 3185,Elsternwick,VIC,3185,145.0149078,-37.88422012,7df98a37-a02f-8e96-3e82-d0cfba7158d5,General practice service,GAVIC419945801,GENERAL PRACTICE,2024-03-05
1207,active,Pingelly General Practice,32 Brown Street Pingelly WA 6308,Pingelly,WA,6308,117.0896912,-32.53276443,d432bd8c-059b-8d3d-d20f-fbd283ab7102,General practice service,GAWA_719402292,GENERAL PRACTICE,2024-03-05
1208,active,North Adelaide Healthcare,202 Melbourne Street North Adelaide SA 5006,North Adelaide,SA,5006,138.604332,-34.9082547,ade05979-3a38-4c87-8f73-33f4a86df612,General practice service,GASA_415512278,GENERAL PRACTICE,2024-03-05
1209,active,Kiama Medical Practice,83 Manning Street Kiama NSW 2533,Kiama,NSW,2533,150.8535919,-34.67463303,188a435e-0eb0-4b1b-d017-423ac2ab7aec,General practice service,,GENERAL PRACTICE,2024-03-05
1210,active,Medical For Everybody - Aspendale Gardens,11 Narelle Drive Aspendale Gardens VIC 3195,Aspendale Gardens,VIC,3195,145.1177216,-38.02200317,efc41db2-5b7c-e32a-6752-cc89a9ef425c,General practice service,,GENERAL PRACTICE,2024-03-05
1211,active,Zenith Family Practice,10 Layton Avenue Blaxland NSW 2774,Blaxland,NSW,2774,150.6142883,-33.74559021,7a49a529-301a-e2e1-972b-4c85d1293776,General practice service,,GENERAL PRACTICE,2024-03-05
1212,active,Amicus Medical Chambers,155 Wickham Terrace Spring Hill QLD 4000,Spring Hill,QLD,4000,153.0250702,-27.46455765,3d3e5fe3-26a8-d25a-623a-cd46d46ff176,General practice service,,GENERAL PRACTICE,2024-03-05
1213,active,Lake Macquarie Medical Centre,24-26 Brooks Parade Belmont NSW 2280,Belmont,NSW,2280,151.6570435,-33.03382111,f9fda2db-3bce-43de-74d2-a455f75ac622,General practice service,GANSW718148150,GENERAL PRACTICE,2024-03-05
1214,active,The Vale Medical And Wellness,18 Caspian Terrace Canning Vale WA 6155,Canning Vale,WA,6155,115.94138,-32.0889316,367c2932-4518-4eca-b4e0-98490c9e8748,General practice service,GAWA_718713511,GENERAL PRACTICE,2024-03-05
1215,active,Cooktown Medical Centre,45 Helen Street Cooktown QLD 4895,Cooktown,QLD,4895,145.249939,-15.46920395,6b493d02-883b-5ff9-21c9-72ec1ae9dbc3,General practice service,GAQLD161755365,GENERAL PRACTICE,2024-03-05
1216,active,Wellard Family Practice,1/1 The Strand Wellard WA 6170,Wellard,WA,6170,115.8157578,-32.26231766,11cd8c31-2e81-0fc6-c231-67b9b1ad87eb,General practice service,,GENERAL PRACTICE,2024-03-05
1217,active,Grand Pacific Health Centre - University of Wollongong,Northfields Avenue Keiraville NSW 2500,Keiraville,NSW,2500,150.8771699,-34.40791175,da2f56fc-4fe6-4830-a24b-d392b05dab30,General practice service,,GENERAL PRACTICE,2024-03-05
1218,active,Heidelberg West Medical,15-23 The Mall Heidelberg West VIC 3081,Heidelberg West,VIC,3081,145.0421869,-37.74930444,ee53665d-8974-4c21-ac9c-74584ba6513a,General practice service,GAVIC420668480,GENERAL PRACTICE,2024-03-05
1219,active,Kanwal Village Medical Centre,654 Pacific Highway Hamlyn Terrace NSW 2259,Hamlyn Terrace,NSW,2259,151.4798262,-33.26262428,3941a18b-4c8b-0b9c-99df-2e0f04d873a0,General practice service,GANSW704919532,GENERAL PRACTICE,2024-03-05
