State,Quarter,Broad Type of Service,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service ($)
Qld,2024-25 Q2 (Dec Qtr),Anaesthetics,9.7%,206.12
Qld,2024-25 Q2 (Dec Qtr),Anaesthetics,7.6%,256.89
SA,2024-25 Q2 (Dec Qtr),Anaesthetics,6.7%,186.39
SA,2024-25 Q2 (Dec Qtr),Anaesthetics,6.5%,215.76
SA,2024-25 Q2 (Dec Qtr),Anaesthetics,7.2%,139.33
WA,2024-25 Q2 (Dec Qtr),Anaesthetics,4.2%,422.27
WA,2024-25 Q2 (Dec Qtr),Anaesthetics,4.1%,369.56
WA,2024-25 Q2 (Dec Qtr),Anaesthetics,4.4%,441.29
WA,2024-25 Q2 (Dec Qtr),Anaesthetics,3.8%,531.74
Tas,2024-25 Q2 (Dec Qtr),Anaesthetics,1.4%,85.06
Tas,2024-25 Q2 (Dec Qtr),Anaesthetics,1.4%,85.06
NT,2024-25 Q2 (Dec Qtr),Anaesthetics,4.4%,224.50
NT,2024-25 Q2 (Dec Qtr),Anaesthetics,4.4%,224.50
ACT,2024-25 Q2 (Dec Qtr),Anaesthetics,4.4%,189.07
ACT,2024-25 Q2 (Dec Qtr),Anaesthetics,4.4%,189.07
Unk,2024-25 Q2 (Dec Qtr),Anaesthetics,4.5%,"1,111.10"
Unk,2024-25 Q2 (Dec Qtr),Anaesthetics,4.5%,"1,111.10"
Australia,2024-25 Q2 (Dec Qtr),Total Pathology,89.7%,23.79
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,88.6%,25.45
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,87.6%,35.67
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,83.2%,20.23
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,91.0%,24.19
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,91.2%,23.97
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,91.3%,25.10
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,89.8%,20.70
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,91.5%,33.55
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,87.3%,26.08
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,89.4%,25.16
NSW,2024-25 Q2 (Dec Qtr),Total Pathology,90.0%,29.46
Vic,2024-25 Q2 (Dec Qtr),Total Pathology,90.7%,23.54
Vic,2024-25 Q2 (Dec Qtr),Total Pathology,93.7%,25.82
Vic,2024-25 Q2 (Dec Qtr),Total Pathology,87.9%,25.67
Vic,2024-25 Q2 (Dec Qtr),Total Pathology,89.3%,24.92
Vic,2024-25 Q2 (Dec Qtr),Total Pathology,92.9%,20.80
Vic,2024-25 Q2 (Dec Qtr),Total Pathology,92.7%,20.10
Vic,2024-25 Q2 (Dec Qtr),Total Pathology,90.7%,19.05
Qld,2024-25 Q2 (Dec Qtr),Total Pathology,90.0%,21.20
Qld,2024-25 Q2 (Dec Qtr),Total Pathology,89.6%,20.75
Qld,2024-25 Q2 (Dec Qtr),Total Pathology,89.8%,19.41
Qld,2024-25 Q2 (Dec Qtr),Total Pathology,89.7%,29.30
Qld,2024-25 Q2 (Dec Qtr),Total Pathology,90.1%,20.59
Qld,2024-25 Q2 (Dec Qtr),Total Pathology,92.0%,23.87
Qld,2024-25 Q2 (Dec Qtr),Total Pathology,89.6%,19.15
Qld,2024-25 Q2 (Dec Qtr),Total Pathology,91.6%,23.60
SA,2024-25 Q2 (Dec Qtr),Total Pathology,88.4%,25.29
SA,2024-25 Q2 (Dec Qtr),Total Pathology,87.6%,25.88
SA,2024-25 Q2 (Dec Qtr),Total Pathology,90.6%,23.47
WA,2024-25 Q2 (Dec Qtr),Total Pathology,90.0%,23.67
WA,2024-25 Q2 (Dec Qtr),Total Pathology,89.6%,24.61
WA,2024-25 Q2 (Dec Qtr),Total Pathology,89.6%,25.51
WA,2024-25 Q2 (Dec Qtr),Total Pathology,92.3%,12.57
Tas,2024-25 Q2 (Dec Qtr),Total Pathology,92.9%,30.66
Tas,2024-25 Q2 (Dec Qtr),Total Pathology,92.9%,30.66
NT,2024-25 Q2 (Dec Qtr),Total Pathology,96.8%,24.11
NT,2024-25 Q2 (Dec Qtr),Total Pathology,96.8%,24.11
ACT,2024-25 Q2 (Dec Qtr),Total Pathology,92.5%,17.74
ACT,2024-25 Q2 (Dec Qtr),Total Pathology,92.5%,17.74
Unk,2024-25 Q2 (Dec Qtr),Total Pathology,98.8%,-
Unk,2024-25 Q2 (Dec Qtr),Total Pathology,98.8%,-
Australia,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,76.4%,123.39
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,77.2%,117.88
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,76.1%,132.42
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,60.9%,116.65
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,85.0%,127.23
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,87.9%,128.00
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,89.2%,137.38
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,76.7%,118.66
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,75.5%,103.62
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,77.4%,105.86
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,66.3%,95.81
NSW,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,67.5%,130.60
Vic,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,78.3%,127.78
Vic,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,85.1%,148.73
Vic,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,76.9%,134.60
Vic,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,77.5%,133.81
Vic,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,78.3%,118.36
Vic,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,72.7%,102.56
Vic,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,71.5%,106.62
Qld,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,75.2%,121.47
Qld,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,69.0%,116.33
Qld,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,74.6%,129.71
Qld,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,75.4%,126.34
Qld,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,73.8%,125.38
Qld,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,68.8%,146.20
Qld,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,78.0%,103.97
Qld,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,82.3%,131.12
SA,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,73.5%,139.86
SA,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,74.4%,140.41
SA,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,71.1%,138.79
WA,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,77.1%,114.01
WA,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,75.9%,114.77
WA,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,78.4%,107.02
WA,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,76.8%,125.85
Tas,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,67.5%,131.89
Tas,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,67.5%,131.89
NT,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,85.3%,146.22
NT,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,85.3%,146.22
ACT,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,50.6%,138.03
ACT,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,50.6%,138.03
Unk,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,94.1%,129.69
Unk,2024-25 Q2 (Dec Qtr),Diagnostic Imaging,94.1%,129.69
Australia,2024-25 Q2 (Dec Qtr),Total Operations,33.2%,100.46
NSW,2024-25 Q2 (Dec Qtr),Total Operations,36.7%,106.72
NSW,2024-25 Q2 (Dec Qtr),Total Operations,29.0%,121.07
NSW,2024-25 Q2 (Dec Qtr),Total Operations,23.2%,111.81
NSW,2024-25 Q2 (Dec Qtr),Total Operations,40.4%,115.74
NSW,2024-25 Q2 (Dec Qtr),Total Operations,44.4%,131.03
NSW,2024-25 Q2 (Dec Qtr),Total Operations,47.0%,128.27
NSW,2024-25 Q2 (Dec Qtr),Total Operations,34.2%,99.71
NSW,2024-25 Q2 (Dec Qtr),Total Operations,44.1%,125.67
NSW,2024-25 Q2 (Dec Qtr),Total Operations,38.9%,91.04
NSW,2024-25 Q2 (Dec Qtr),Total Operations,48.8%,83.19
NSW,2024-25 Q2 (Dec Qtr),Total Operations,34.1%,74.12
Vic,2024-25 Q2 (Dec Qtr),Total Operations,25.5%,107.51
Vic,2024-25 Q2 (Dec Qtr),Total Operations,27.7%,134.19
Vic,2024-25 Q2 (Dec Qtr),Total Operations,21.1%,108.00
Vic,2024-25 Q2 (Dec Qtr),Total Operations,26.5%,114.01
Vic,2024-25 Q2 (Dec Qtr),Total Operations,34.4%,97.31
Vic,2024-25 Q2 (Dec Qtr),Total Operations,26.8%,82.33
Vic,2024-25 Q2 (Dec Qtr),Total Operations,23.5%,86.23
Qld,2024-25 Q2 (Dec Qtr),Total Operations,40.9%,94.52
Qld,2024-25 Q2 (Dec Qtr),Total Operations,38.5%,83.20
Qld,2024-25 Q2 (Dec Qtr),Total Operations,37.4%,99.35
Qld,2024-25 Q2 (Dec Qtr),Total Operations,45.4%,103.71
Qld,2024-25 Q2 (Dec Qtr),Total Operations,41.3%,97.91
Qld,2024-25 Q2 (Dec Qtr),Total Operations,41.0%,89.94
Qld,2024-25 Q2 (Dec Qtr),Total Operations,40.8%,91.09
Qld,2024-25 Q2 (Dec Qtr),Total Operations,45.9%,103.58
SA,2024-25 Q2 (Dec Qtr),Total Operations,29.4%,82.50
SA,2024-25 Q2 (Dec Qtr),Total Operations,27.0%,85.20
SA,2024-25 Q2 (Dec Qtr),Total Operations,35.0%,76.82
WA,2024-25 Q2 (Dec Qtr),Total Operations,26.5%,89.97
WA,2024-25 Q2 (Dec Qtr),Total Operations,25.5%,94.65
WA,2024-25 Q2 (Dec Qtr),Total Operations,26.5%,92.06
WA,2024-25 Q2 (Dec Qtr),Total Operations,28.8%,75.02
Tas,2024-25 Q2 (Dec Qtr),Total Operations,19.5%,71.69
Tas,2024-25 Q2 (Dec Qtr),Total Operations,19.5%,71.69
NT,2024-25 Q2 (Dec Qtr),Total Operations,37.6%,100.88
NT,2024-25 Q2 (Dec Qtr),Total Operations,37.6%,100.88
ACT,2024-25 Q2 (Dec Qtr),Total Operations,15.5%,142.57
ACT,2024-25 Q2 (Dec Qtr),Total Operations,15.5%,142.57
Unk,2024-25 Q2 (Dec Qtr),Total Operations,60.8%,144.05
Unk,2024-25 Q2 (Dec Qtr),Total Operations,60.8%,144.05
Australia,2024-25 Q2 (Dec Qtr),Optometry,94.2%,36.35
NSW,2024-25 Q2 (Dec Qtr),Optometry,95.6%,33.61
NSW,2024-25 Q2 (Dec Qtr),Optometry,95.8%,35.34
NSW,2024-25 Q2 (Dec Qtr),Optometry,94.0%,33.08
NSW,2024-25 Q2 (Dec Qtr),Optometry,98.0%,42.15
NSW,2024-25 Q2 (Dec Qtr),Optometry,94.4%,32.76
NSW,2024-25 Q2 (Dec Qtr),Optometry,98.0%,41.84
NSW,2024-25 Q2 (Dec Qtr),Optometry,95.9%,30.93
NSW,2024-25 Q2 (Dec Qtr),Optometry,97.5%,29.84
NSW,2024-25 Q2 (Dec Qtr),Optometry,95.3%,33.46
NSW,2024-25 Q2 (Dec Qtr),Optometry,89.2%,30.42
NSW,2024-25 Q2 (Dec Qtr),Optometry,94.8%,22.04
Vic,2024-25 Q2 (Dec Qtr),Optometry,93.5%,35.90
Vic,2024-25 Q2 (Dec Qtr),Optometry,94.4%,36.83
Vic,2024-25 Q2 (Dec Qtr),Optometry,93.4%,37.99
Vic,2024-25 Q2 (Dec Qtr),Optometry,92.2%,36.11
Vic,2024-25 Q2 (Dec Qtr),Optometry,86.0%,28.48
Vic,2024-25 Q2 (Dec Qtr),Optometry,94.6%,36.04
Vic,2024-25 Q2 (Dec Qtr),Optometry,97.0%,36.58
Qld,2024-25 Q2 (Dec Qtr),Optometry,93.3%,36.00
Qld,2024-25 Q2 (Dec Qtr),Optometry,92.6%,29.60
Qld,2024-25 Q2 (Dec Qtr),Optometry,94.8%,35.29
Qld,2024-25 Q2 (Dec Qtr),Optometry,96.8%,34.81
Qld,2024-25 Q2 (Dec Qtr),Optometry,87.9%,45.27
Qld,2024-25 Q2 (Dec Qtr),Optometry,96.3%,41.17
Qld,2024-25 Q2 (Dec Qtr),Optometry,92.5%,27.22
Qld,2024-25 Q2 (Dec Qtr),Optometry,94.2%,52.06
SA,2024-25 Q2 (Dec Qtr),Optometry,95.4%,38.87
SA,2024-25 Q2 (Dec Qtr),Optometry,95.9%,39.43
SA,2024-25 Q2 (Dec Qtr),Optometry,94.4%,37.87
WA,2024-25 Q2 (Dec Qtr),Optometry,93.8%,43.02
WA,2024-25 Q2 (Dec Qtr),Optometry,93.4%,44.49
WA,2024-25 Q2 (Dec Qtr),Optometry,95.4%,42.31
WA,2024-25 Q2 (Dec Qtr),Optometry,90.5%,41.11
Tas,2024-25 Q2 (Dec Qtr),Optometry,93.3%,29.05
Tas,2024-25 Q2 (Dec Qtr),Optometry,93.3%,29.05
NT,2024-25 Q2 (Dec Qtr),Optometry,97.9%,43.48
NT,2024-25 Q2 (Dec Qtr),Optometry,97.9%,43.48
ACT,2024-25 Q2 (Dec Qtr),Optometry,87.5%,43.09
ACT,2024-25 Q2 (Dec Qtr),Optometry,87.5%,43.09
Unk,2024-25 Q2 (Dec Qtr),Optometry,99.4%,135.40
Unk,2024-25 Q2 (Dec Qtr),Optometry,99.4%,135.40
Australia,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,70.6%,119.82
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,75.7%,122.78
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,64.7%,105.47
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,51.0%,157.26
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,72.3%,128.75
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,78.9%,128.62
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,85.3%,86.68
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,91.8%,175.81
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,91.8%,154.03
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,68.5%,107.16
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,93.4%,141.88
NSW,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,90.4%,113.31
Vic,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,70.6%,114.16
Vic,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,76.1%,137.23
Vic,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,62.1%,100.73
Vic,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,55.2%,101.22
Vic,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,85.6%,117.56
Vic,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,84.5%,165.42
Vic,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,84.3%,130.24
Qld,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,64.3%,122.49
Qld,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,56.4%,134.15
Qld,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,66.4%,144.70
Qld,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,65.9%,168.92
Qld,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,40.6%,94.78
Qld,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,58.5%,152.88
Qld,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,69.1%,85.59
Qld,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,81.0%,156.27
SA,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,56.4%,88.39
SA,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,53.8%,87.79
SA,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,62.0%,90.01
WA,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,76.8%,144.51
WA,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,62.7%,140.18
WA,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,82.6%,145.06
WA,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,89.9%,169.99
Tas,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,63.1%,127.55
Tas,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,63.1%,127.55
NT,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,96.9%,93.12
NT,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,96.9%,93.12
ACT,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,80.1%,172.67
ACT,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,80.1%,172.67
Unk,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,100.0%,-
Unk,2024-25 Q2 (Dec Qtr),Radiotherapy and Therapeutic Nuclear Medicine,100.0%,-
Australia,2024-25 Q2 (Dec Qtr),Other MBS Services,60.7%,134.53
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,62.2%,146.39
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,60.9%,194.13
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,47.5%,147.58
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,69.5%,184.62
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,68.7%,157.24
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,70.5%,139.43
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,61.8%,112.62
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,67.3%,146.27
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,61.7%,126.67
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,61.9%,90.63
NSW,2024-25 Q2 (Dec Qtr),Other MBS Services,59.6%,115.90
Vic,2024-25 Q2 (Dec Qtr),Other MBS Services,64.8%,163.45
Vic,2024-25 Q2 (Dec Qtr),Other MBS Services,71.2%,238.26
Vic,2024-25 Q2 (Dec Qtr),Other MBS Services,60.0%,156.62
Vic,2024-25 Q2 (Dec Qtr),Other MBS Services,61.8%,160.75
Vic,2024-25 Q2 (Dec Qtr),Other MBS Services,75.0%,122.00
Vic,2024-25 Q2 (Dec Qtr),Other MBS Services,66.1%,99.51
Vic,2024-25 Q2 (Dec Qtr),Other MBS Services,62.3%,129.16
Qld,2024-25 Q2 (Dec Qtr),Other MBS Services,57.8%,120.58
Qld,2024-25 Q2 (Dec Qtr),Other MBS Services,51.7%,121.53
Qld,2024-25 Q2 (Dec Qtr),Other MBS Services,58.9%,130.43
Qld,2024-25 Q2 (Dec Qtr),Other MBS Services,58.9%,137.85
Qld,2024-25 Q2 (Dec Qtr),Other MBS Services,59.3%,106.99
Qld,2024-25 Q2 (Dec Qtr),Other MBS Services,64.8%,127.12
Qld,2024-25 Q2 (Dec Qtr),Other MBS Services,60.9%,100.09
Qld,2024-25 Q2 (Dec Qtr),Other MBS Services,57.8%,126.37
SA,2024-25 Q2 (Dec Qtr),Other MBS Services,53.7%,98.75
SA,2024-25 Q2 (Dec Qtr),Other MBS Services,52.3%,105.74
SA,2024-25 Q2 (Dec Qtr),Other MBS Services,56.9%,82.05
WA,2024-25 Q2 (Dec Qtr),Other MBS Services,57.7%,108.27
WA,2024-25 Q2 (Dec Qtr),Other MBS Services,54.9%,106.38
WA,2024-25 Q2 (Dec Qtr),Other MBS Services,58.6%,110.30
WA,2024-25 Q2 (Dec Qtr),Other MBS Services,63.6%,109.88
Tas,2024-25 Q2 (Dec Qtr),Other MBS Services,57.7%,86.21
Tas,2024-25 Q2 (Dec Qtr),Other MBS Services,57.7%,86.21
NT,2024-25 Q2 (Dec Qtr),Other MBS Services,80.3%,190.04
NT,2024-25 Q2 (Dec Qtr),Other MBS Services,80.3%,190.04
ACT,2024-25 Q2 (Dec Qtr),Other MBS Services,54.1%,144.55
ACT,2024-25 Q2 (Dec Qtr),Other MBS Services,54.1%,144.55
Unk,2024-25 Q2 (Dec Qtr),Other MBS Services,93.1%,50.71
Unk,2024-25 Q2 (Dec Qtr),Other MBS Services,93.1%,50.71
Australia,2024-25 Q1 (Sep Qtr),Total Medicare,75.3%,78.93
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,76.9%,85.42
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,73.9%,94.77
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,66.4%,90.14
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,85.0%,98.10
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,82.9%,89.22
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,86.4%,95.73
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,75.2%,76.84
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,79.8%,82.75
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,72.8%,72.86
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,75.4%,71.34
NSW,2024-25 Q1 (Sep Qtr),Total Medicare,76.2%,80.28
Vic,2024-25 Q1 (Sep Qtr),Total Medicare,75.6%,78.49
Vic,2024-25 Q1 (Sep Qtr),Total Medicare,79.6%,83.20
Vic,2024-25 Q1 (Sep Qtr),Total Medicare,71.9%,77.81
Vic,2024-25 Q1 (Sep Qtr),Total Medicare,74.2%,81.80
Vic,2024-25 Q1 (Sep Qtr),Total Medicare,80.2%,72.95
Vic,2024-25 Q1 (Sep Qtr),Total Medicare,75.8%,69.20
Vic,2024-25 Q1 (Sep Qtr),Total Medicare,74.7%,71.92
Qld,2024-25 Q1 (Sep Qtr),Total Medicare,75.3%,75.91
Qld,2024-25 Q1 (Sep Qtr),Total Medicare,71.0%,75.96
Qld,2024-25 Q1 (Sep Qtr),Total Medicare,75.1%,77.78
Qld,2024-25 Q1 (Sep Qtr),Total Medicare,76.5%,81.03
Qld,2024-25 Q1 (Sep Qtr),Total Medicare,77.8%,75.23
Qld,2024-25 Q1 (Sep Qtr),Total Medicare,78.7%,78.92
Qld,2024-25 Q1 (Sep Qtr),Total Medicare,75.1%,71.59
Qld,2024-25 Q1 (Sep Qtr),Total Medicare,79.0%,73.78
SA,2024-25 Q1 (Sep Qtr),Total Medicare,73.2%,70.38
SA,2024-25 Q1 (Sep Qtr),Total Medicare,72.3%,70.14
SA,2024-25 Q1 (Sep Qtr),Total Medicare,75.6%,71.04
WA,2024-25 Q1 (Sep Qtr),Total Medicare,72.0%,74.12
WA,2024-25 Q1 (Sep Qtr),Total Medicare,69.7%,75.61
WA,2024-25 Q1 (Sep Qtr),Total Medicare,72.6%,72.08
WA,2024-25 Q1 (Sep Qtr),Total Medicare,76.0%,74.72
Tas,2024-25 Q1 (Sep Qtr),Total Medicare,73.7%,71.98
Tas,2024-25 Q1 (Sep Qtr),Total Medicare,73.7%,71.98
NT,2024-25 Q1 (Sep Qtr),Total Medicare,82.5%,72.94
NT,2024-25 Q1 (Sep Qtr),Total Medicare,82.5%,72.94
ACT,2024-25 Q1 (Sep Qtr),Total Medicare,63.7%,84.97
ACT,2024-25 Q1 (Sep Qtr),Total Medicare,63.7%,84.97
Unk,2024-25 Q1 (Sep Qtr),Total Medicare,96.3%,73.50
Unk,2024-25 Q1 (Sep Qtr),Total Medicare,96.3%,73.50
Australia,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.6%,46.64
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,82.2%,45.64
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.6%,48.15
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,71.3%,47.07
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,93.1%,38.24
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,90.6%,41.66
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,93.9%,36.81
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.2%,45.38
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,82.9%,47.25
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,73.0%,46.16
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,80.0%,46.61
NSW,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,81.0%,46.50
Vic,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,78.2%,46.37
Vic,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,81.1%,45.88
Vic,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,74.9%,43.61
Vic,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,78.1%,49.46
Vic,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,83.5%,49.53
Vic,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,76.1%,46.49
Vic,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,76.7%,45.96
Qld,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,75.7%,47.58
Qld,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,68.0%,47.61
Qld,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,75.9%,45.01
Qld,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,80.7%,48.77
Qld,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,80.6%,46.28
Qld,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.2%,48.50
Qld,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,74.9%,49.56
Qld,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.6%,49.58
SA,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,74.5%,43.04
SA,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,73.6%,41.87
SA,2024-25 Q1 (Sep Qtr),Total GP Non-Referred Attendances,77.0%,46.57
